Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
CP-A8413831E1,,,2023-12-01,07:10,2023-12-06,MC,503,,SEADRILL WEST NEPTUNE,Production Operations,LIFTING,Loss Event,Health & Safety,Injury TLI,,SYN-131b78,Marine Coordinator,SYN-2b42f1,HSE Advisor,SYN-e41b8b,HSE Advisor,2023-12-13,SYN-4e9937,Maintenance Supervisor,2023-12-28,"On December 1, 2023 at approximately 17:58 hours, LLOG Exploration Offshore, LLC.
(LLOG) experienced a dropped object incident which occurred onboard the drillship
SeaDrill West Neptune rig at Mississippi Canyon 503, Well #007. The incident involved
a spider dog safety door (a piece of grating) falling through the rotary table to the
top of the Blow Out Preventers (BOP) injuring two people. At 20:08 hours, LLOG
reported the incident to the Bureau of Safety and Environmental Enforcement (BSEE) New
Orleans District.
The",The incident resulted in a lost-time accident with more than 3 days lost. The facility was evacuated. Estimated property damage $100.,,,,,,,,,,,,,A,,"sequence of events began after repairing the Blind Shear Rams; the BOP was being
prepared to be reinstalled on the well. The drill floor (driller) was notified by the
subsea engineer to rig up riser running equipment for deploying the BOP. The riser
skate bridge was raised, and the BOP was moved to the transporter to be deployed. When
the BOP was placed in the transporter, the riser skate bridge was lowered, and the
first joint of riser was placed on the skate. At this time the subsea engineer
instructed two floor hands to prepare for mobilizing to the top of the BOP to check
the riser adapter and to accept the first joint of riser.
The two floor hands donned safety harnesses and personal flotation devices and entered
the maintenance basket near the riser adapter walkway. The floor hands exited the
basket and positioned themselves on the walkway and performed the inspection of the
service line stabs and the pin connection of the riser adapter. When the inspection
was completed, the floor hands notified the night tour auxiliary driller they were
ready to accept the first 90 ft. slick joint of riser.
While making their way (the two floor hands) to the maintenance basket, the drill crew
functioned the spider dogs to the open position. The dogs failed to fully open and
therefore reverted to the closed position. At that time, it was noted the back plates
of the work platform were still down preventing the dogs from opening. The night tour
auxiliary driller went to the spider and raised all 4 back plates.
The dogs were functioned to the open position a second time. It was during this
function that the port (left side) aft (toward the back) spider dog safety door was
dislodged from the dog. The safety door then fell off the end and down through the
rotary to the riser adapter where the two floor hands were stationed (as they had not
made it back into the maintenance basket and off of the walkway).
The spider dog safety door struck the riser adapter and the two floor hands knocking
them from the walkway and sustaining various injuries. One injured person (IP) had
facial lacerations and the other IP had a fractured rib.
The rig personnel scaled the BOP to assist the two floor hands as they were suspended
from their self-retracting lifelines. One of the floor hands was upside down, with his
left ankle caught between the grating of the walkway and boost (line) valve. The other
floor hand had swung off the walkway and was able to plant his feet on the BOP main
structure to stop himself from swinging.
The two injured personnel (IPs) were brought down in the maintenance basket and walked
under their own power to the infirmary for treatment and evaluation. The IPs were
evaluated by the medic on site and the decision was made to send the IPs to shore via
med-evac for further evaluation at West Jefferson Hospital in New Orleans, LA. On
December 4, 2023, BSEE started conducting an incident investigation consisting of
communicating with Company Representative and HSE representative on location. BSEE
requested daily reports, photos, witness statements, work permits and procedures.
After reviewing the statements, photos, and drawings, BSEE concluded there was an
inadequate secondary retention chain for securing the grating on the riser spider.
This retention chain did not prevent the grating from falling forward into the hole
once the two bolts that initially secured the spider dog safety door were sheared.
Human Performance Error:
The safety grating was secured to the spider dog by a bracket and was attached to the
dog with 4 bolts. The bolts were sheared off due to the back plate remaining in the
down position and not in the open position on the work platform. Therefore, when the
spider dog was raised to the vertical position, the back plate forced the safety
grating forward shearing the bolts. The back plate must be manually opened or placed
in the up position before the dog is raised, see the attached presentation/photos.
The secondary means of securing the safety grating to the spider dog is a chain which
attaches both ends of the chain to opposite sides of the spider dog. The chain was
attached to the bracket (which secured the safety grating spider dog) and spider dog
by one of the 4 bolts. The chain rapped around the spider dog and is designed to
prevent the spider dog safety grating from falling away from the well center to the
work platform while the dogs are in the open/vertical position. Since the chain was
bolted to the bracket and the bolts were sheared, this allowed the grating to fall
into the well center and the moon pool; again, please seen the attached
presentation/photos."
CP-7D02588F5C,,,2023-12-07,16:45,2023-12-08,ST,193,A,,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,Injury TLI,,SYN-c883ea,Facility Engineer,SYN-72c4f6,Maintenance Supervisor,SYN-3a9637,Operations Superintendent,2023-12-13,SYN-dfb889,HSE Advisor,2024-02-10,"The Injured Party (IP) was holding a clamp on the hydraulic return line for the crane
with a pair of channel locks. Another operator was cutting a rusted bolt from the
clamp with a battery powered Sawzall. The blade stuck in the bolt and the saw jumped
causing the IP to retract his hand. When the IP moved his hand, the saw blade struck
the back of the IP's left hand causing a one inch laceration. The lacerated area was
covered with grease and contaminants. The wound was field dressed, and then the IP
was evacuated in order to receive immediate medical attention. The IP did not
receive stitches at that time, but was given some prescription medication. The next
day, the IP saw an orthopedic surgeon because of stiffness in three fingers. The
IP's hand required surgery to repair ligaments that were damaged during the incident.
The IP was placed on light duty on 15 December 2023 and was returned to full duty on 30
April 2007.",The incident resulted in a lost-time accident with more than 3 days lost. The facility was evacuated.,,,,,,,,,,,,,,,
CP-B838EAABAC,,,2023-12-11,06:30,2023-12-14,HI,,A,,Maintenance,LIFTING DEVICE,Near Hit,,,,,,SYN-8a695d,Maintenance Supervisor,,,,,,,"On the morning of 12 December 2023, personnel were evacuated from Coldren Resources
offshore production facility At HI A-446A. This facility is owned by Coldren
Resources and operated by SPN Resources. Simultanous operations of producing and well
abandonment were being overseen by Noble Energy. There were 14 personnel onboard,
working day light shifts. When personnel woke up on the morning of the 14th, all
complained of stomach aches, with some personnel vomiting. All personnel were sent
in for medical examinations and as a result of the tests, all had an elevated levels
of carbon monoxide in their blood. Eight of the personnel remained in the hospital
overnight for observation. All personnel were released the next morning with no work
restrictions.",The facility was evacuated.,,,,,,,,,,,,,,,
CP-F05811403B,,Serious Incident,2023-12-22,15:50,2023-12-23,SS,154,E-AUX,,Drilling,LIFTING DEVICE,Loss Event,,,Combustion,SYN-e9fc21,Maintenance Supervisor,SYN-6746e2,Maintenance Supervisor,SYN-8dc91b,Operations Superintendent,2023-12-26,SYN-7ca289,Maintenance Supervisor,2024-02-20,"At approximately 1550 hours on December 22, 2023, an incident occurred on a fixed
structure located at Ship Shoal Block 154 (E-Auxilliary platform), OCS 00420. The
operator of record is Ridgelake Energy, Inc. (Ridgelake), who contracts Island
Operating Co. onboard this facility.
During normal production operations, personnel noticed smoke coming from the exhaust
stack on the Heater Treater (NBK-1800). After shutting off the fuel gas to the
burner, the operator noticed a small fire inside the fire tube and left to retrieve a
handheld fire extinguisher. When he returned, the fire was already out. The treater
was drained of all fluids, and the fire tube was removed and sent to a fabrication
and repair yard in Scott, Louisiana. BSEE inspectors were there on December 28, 2023,
to witness the sandblasting and cleaning of the fire tube, as well as to assess the
damage.","Reported as a fire. Estimated property damage $175,000.",Serious Incident,,Serious Incident,,,,,,,,,,C,,
CP-3692EFDD2C,,,2023-12-24,13:35,2023-12-26,KC,875,,,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,Injury TLI,,SYN-e09e4c,Marine Coordinator,SYN-14b30c,Production Foreman,SYN-c8d4cf,HSE Advisor,2023-12-30,SYN-6cf525,HSE Advisor,2024-01-31,"-
On December 24, 2023 at approximately 1335 hours, an employee was injured while
attempting to hydro test a pipeline.
The injured employee (IE) was part of a crew that was in the process of hydro-testing
the oil system on a new facility. The maximum pressure to be tested on the system was
9000 psi.
As the pressure reached approximately 8000 psi, the seal on a check valve failed on
the #6 flow line. The testing was stopped and the pressure was bled down to repair
the check valve. The crew stopped for lunch after bleeding the pressure.
Prior to resuming the check valve repair, the test gauges were checked and 2800 psi
was found on a gauge installed downstream of the check valve 2 (CV2) but the IE
failed to check the gauge installed downstream of check valve 1 (CV1). The trapped
pressure located downstream of the (CV2) was bled down utilizing a needle valve
located on that section of piping.
As per the Contractors Standard Operating Procedure, the Hydro Foreman or his
designee shall be responsible for system walk down. There was a foreman present
during hydro-testing operations but failed to detect the hazard.
As the IE and another employee began to unscrew the cap screws so the piping could be
removed to access the leaking valve, trapped pressure downstream of the (CV1) was
released striking the IE in the left side of face and head. The IE was found
unconscious due to his injuries. The IE was transported to a medical facility for
additional treatment.",The IE was transported to a medical facility for additional treatment.,,,,,,,,,,,,,,,
CP-4D06E49FE0,,,2023-12-24,13:00,2023-12-26,HI,A 571,B-AUX,,Drilling,LIFTING DEVICE,Loss Event,Business Interruption & Cost,Equipment Damage,,,,SYN-783fd0,Maintenance Supervisor,,,,,,,"On Wednesday, 12/24/2023, the adjustable choke on the HI-A571 ""A"" A-15 well was found
to be ""cut out"" due to the well producing sand. Operators re-built the choke and
placed the well back on production to the test separator around 4:00 pm. The choke
was set at 4/64 after rebuild instead of the original setting of 8/64 to help control
sand. At approximately 1:30 am, 12/25/2023, platform personnel described being
awakened by noise described as a ""storm"". Upon looking outside the living quarters,
the operators heard a gas leak and observed a large gas cloud in the area where the
test separator was located. The platform ""A"" Operator then headed to the wellbay to
insure all wells had been shut-in. The gas compressor and generator shut-in while an
operator was in-route to the wellbay. Upon arriving at the wellbay, the ""A"" Operator
noticed all wells shut-in except for A-15. Black Elk stated platform shutdown was
due to an ASH Gas Detector reaching 60% LEL. A-15 remained open and gas continued to
leak. The ""A"" Operator then manually closed the wing valve and the gas leak stopped.
Large amounts of sand were observed in the area around damaged piping. The range
charts being run on the test separator at the time the incident occurred showed that
at approximately 6:00 pm, the well flow began to increase. It is believed the choke
was once again ""cut out"" at this time. The PSV began to relieve at some point as
flow increased. The source of the leak was found to be the A-15 flowline PSV
discharge piping as it was cut out at two 90 degree ""elbow"" sections. The chart
shows the pressure at the test separator stayed below the PSH setting of 1368 psi.
The PSH and PSL located on the flowline were found to have sensing lines plugged with
sand and therefore did not function. The report from Xtreme Pressure Services stated
the SSV of the A-15 well was found to have large amounts of sand, which was believed
to be responsible for the A-15 SSV failing to actuate to the closed position.","Reported as damage over $25,000. Estimated property damage $100,000.",,,,,,,,,,,,,C,,
CP-60B0C6B839,,,2023-12-30,12:00,2024-01-01,EB,602,,HELIX 534,Drilling,LIFTING DEVICE,Loss Event,Health & Safety,Injury Minor,,SYN-e7b384,HSE Advisor,SYN-4cd949,Production Foreman,SYN-ad64a7,Maintenance Supervisor,2024-01-04,SYN-6547c5,Production Foreman,2024-02-01,"­
Injured Person (IP) was paged to the Capson deck.
transversing from catwalk to the Capson deck when
fell and landed on his left knee.",The incident resulted in restricted work or job transfer for 1-3 days. The facility was evacuated.,,,,,,,,,,,,,,,
CP-EE305E50DE,,,2024-02-07,18:15,2024-02-10,MC,711,A (GOMEZ),,Marine & Logistics,LIFTING DEVICE,Loss Event,Health & Safety,Injury Minor,,SYN-364c6c,Facility Engineer,SYN-c322c6,Operations Superintendent,SYN-a13afb,Marine Coordinator,2024-02-18,SYN-fd7f20,HSE Advisor,2024-03-23,"On February 7, 2024, at approximately 18:15, on ATP Oil & Gas's OCS-G 14016,
Mississippi Canyon (MC) 711 A Platform (GOMEZ), a contract employee was injured when
his middle finger tip on his left hand was pierced by a broken drill bit, as a result
of equipment failure. Injured person (IP) was placed on light duty.",The incident resulted in restricted work or job transfer for more than 3 days. The facility was evacuated.,,,,,,,,,,,,,,,"Sequence of Events:
A contract employee with Omega was drilling through a piece of metal when the drill
bit in the drill broke. The piece of drill bit that was still in the drill pierced
through his finger tip on this middle finger on the left hand. IP saw the medic to
stop the bleeding and was sent to shore on February 8, 2024, for an evaluation at
CECHE Occupational Medical Clinic in New Iberia, LA. IP had a clean puncture through
his finger, missing the bone and there were no signs of foreign particles on the X-
ray. IP was sent to light duty at Omega's yard."
CP-4A8977A114,,Very Serious Incident,2024-02-23,05:10,2024-02-24,GB,959,,STENA EVOLUTION,Maintenance,LIFTING aerial lift,Loss Event,Health & Safety,Injury TLI,,SYN-4ba1f4,Production Foreman,SYN-d98a2f,Facility Engineer,SYN-1bd447,Production Foreman,2024-03-06,SYN-244e48,Production Foreman,2024-03-23,"On 23 February 2024, an Assistant Driller (AD) employed by Stena Drilling (Stena)
sustained injuries while utilizing an aerial lift man-riding work basket during
drilling operations for Shell Offshore, Inc. (Shell) on the Stena Evolution drillship
located at Garden Banks Block 959. The aerial lift unit is a hydraulic telescopic crane
mounted in the moonpool area on the drillship that can be utilized as a crane or man-
riding work basket.","The IP sustained a laceration to the head requiring numerous sutures and staples, bruising to the left leg and shoulder,and temporary loss of consciousness.",Very Serious Incident,,Very Serious Incident,25,E,5,,,,,,,C,,"Sequence of Events:
On 23 February 2024, Stena was in the process of installing a subsea pump module (SPM)
umbilical line counterbalance sheave to create the storm loop when a Stena AD, the
Injured Party (IP), was ejected from an aerial lift man-riding work basket and fell 16
feet to the deck below. At the time of the incident, the IP was attempting to install
the counterbalance sheave onto the SPM umbilical in the moonpool area. Slack between
two sheaves was required to create the needed spacing for the counterweight
installation. To accomplish this, the crew used an aerial lift man-riding work basket
to pull down on the umbilical cable with a rope to create the necessary slack for
installing the counterbalance. A 0.75-inch polypropylene rope was cradled over the
umbilical by the IP while positioned inside the aerial lift man-basket. The rope was
then tied to each side of the basket, forming a triangular configuration with the
umbilical cable positioned overhead. The umbilical was pulled down to create slack
between the overhead sheaves so the counterbalance sheave could be installed. As the
aerial lift man-riding work basket was being lowered by the Operator, who was
positioned at the walkaround master hydraulic controls, slack on the SPM umbilical
spool was simultaneously paying out. The rope eventually parted when the umbilical ran
out of slack and tension exceeded the rope’s 9,810-pound breaking strength. As a
result, the stored energy from the released tension was transferred to the aerial lift
man-riding work basket, causing it to jolt downward violently. The IP who was
positioned inside the aerial lift man-riding work basket was thrown out and fell
approximately 16 feet, landing on the xmas tree cart deck below. At the time of the
incident, the IP was wearing a life vest and a safety harness; however, the IP’s
harness was not properly secured adequately. The IP sustained a laceration to the head
requiring numerous sutures and staples, bruising to the left leg and shoulder,and
temporary loss of consciousness. First responders provided medical treatment, and a
medevac flight was mobilized. The IP was transported and treated at University Medical
Center New Orleans, Louisiana hospital.
BSEE Investigation:
On 26 February 2024 and 7 March 2024, the Bureau of Safety and Environmental
Enforcement (BSEE) Lafayette District conducted onsite incident follow-up
investigations. On each occasion, BSEE met with Shell and Stena representatives,
inspected the incident scene and gathered all available incident-related documents.
Shell determined that the aerial lift man-riding work basket was operated beyond its
approved design intent by functioning concurrently as a man-riding basket and a lifting
device for loads. It was also discovered that the hydraulics, which would normally
limit the crane to 280 kilograms (617 pounds) of force when the man-riding work basket
is attached, had been placed in bypass. This allowed use of full hydraulic force which
equated to 11,000 kilograms or approximately 24,250 pounds of force. This bypass also
disabled the load indicator lights, alarms and the automatic basket leveling system.
Moreover, the crew failed to recognize the hazards of the task of using the aerial lift
man-riding work basket as a lifting device by pulling downward with rope. There was no
lift plan in place for this type of operation.
In addition, it was found that prior to the aerial lift man-riding work basket going
out of sight, the Managed Pressure Drilling (MPD) Toolpusher held a Toolbox Talk (TBT)
meeting with a Floorman who was passing by so that the Floorman could act as a
Spotter. The MPD Toolpusher had three TBT meeting’s forms on hand, but the Floorman
who was going to act as a Spotter signed the incorrect TBT form, and the IP did not
sign any TBT forms.
During the incident investigation it was also discovered that there was no Management
of Change (MOC) performed when the radio remote controls failed to operate. Therefore,
the operator control station became the primary means of control, thus exposing the
bypass functions to misuse. Moreover, there was no physical method of control to
prevent unauthorized use of bypasses or overrides. The Original Equipment Manufacturer
(OEM) manual and control panel signage state that the deck control panel or operator
station is for emergency use only.
Even though the AD was wearing a safety harness and was tied off to the aerial lift
man-riding work basket, the Stena investigation team determined that the AD had
connected the lanyard to the open-ended inner handrail near the gate, which was the
wrong location to tie off. When the rope broke, the work basket jarred downward and the
IP was thrown from the man-riding work basket and the lanyard hook was pulled off the
open-ended section of the handrail. The man-riding work basket has two dedicated anchor
points for safety harnesses, but the AD did not use either of these anchor points. The
harness and lanyard were inspected, and it was confirmed that they were in good working
condition and not subject to shock load.
The BSEE Incident Investigation Team reviewed all of the final findings of the Shell
assessment report of the incident. According to the Shell report, the incident occurred
because the aerial lift man-riding work basket was being used outside of its design as
both a man-riding basket and as a crane to pull a load simultaneously. In addition,
there was no lift plan in place for this type of operation."
CP-FE4D05FCE3,,Serious Incident,2024-03-22,07:30,2024-03-25,SP,27,5,,Well Services,LIFTING,Loss Event,Business Interruption & Cost,Equipment Damage,,SYN-c9328d,Marine Coordinator,SYN-99292c,Operations Superintendent,SYN-c4ef2b,Facility Engineer,2024-04-03,SYN-a1ae1e,Production Foreman,2024-05-01,"On 22 March 2024, at 0730 hours, an incident occurred at South Pass 27 #5 platform (SP
27 #5). SP 27 #5 platform is owned and operated by Nugulf Operating L.L.C. (Nugulf).
During platform surveying operations for the East Bay field, the Motor Vessel Marc C
(MV) allided with the SP 27 #5 platform. The allision that occurred resulted in damage
to the SP 27 #5 platform and the starboard bow of the MV. Once the MV crew assessed
the damage, the MV was able to drop off two Island Operator workers that were onboard
to a neighboring platform in West Delta (WD) 106 area and continue traveling to the
Allied Shipyard (shipyard) in Golden Meadow, Louisiana for vessel repairs. There were
no injuries or pollution associated with the incident.","Although there were no injuries or pollution as a result of the incident, there was the potential for both.",Serious Incident,,Serious Incident,12,D,3,,,,,,,,,"SEQUENCE OF EVENTS:
On 22 March 2024, the MV was providing transportation for Island Operators to conduct
platform surveys in the East Bay field for decommissioning operations. At
approximately 0730 hours, the Island Operators crew had completed platform surveys and
were beginning to travel to the WD field. Approximately 3 minutes after leaving the
East Bay field and heading to the WD field, the MV contacted the SP 27 #5 platform.
After the MV contacted the platform, the MV crew began assessing the damage on the MV
as well as the SP 27 #5 platform. During the assessment, the crew confirmed damage to
the platform, as well as the starboard bow of MV. There were no injuries to personnel
on the MV. The MV immediately notified the United States Coast Guard (USCG) of the
incident that had occurred. The USCG then gave the MV permission to proceed to drop
off the Island Operators at WD 106 platform and travel to the shipyard for repairs.
Upon arrival at the dock the MV crew was drug tested and provided statements to Gulf
Offshore Logistics, L.L.C. (GOL) representatives. The results of all drug tests
performed came back negative.
BSEE INVESTIGATIONS:
On 22 March 2024, at 1002 hours, Nugulf notified the Bureau of Safety and Environmental
Enforcement (BSEE) of an incident that occurred at SP 27 #5 platform. During this
incident, an MV contacted SP 27 #5 platform which caused damage to both the platform
and the MV. On 4 April 2024, Nugulf submitted an electronic incident report to BSEE.
The incident report consisted of photographs of the damage to the platform and MV, a
brief description of the incident, and other relevant information concerning the
incident.
On 4 April 2024, the incident was assigned to a BSEE Accident Investigator (AI). Once
the incident was assigned, the AI requested additional information pertaining to the
incident and performed an on-site investigation on 11 April 2024. During the on-site
investigation, additional photographs were taken, and verification of the platform
coordinates were performed.
During the incident investigation, witness statements, USCG form CG-2692, and the
internal investigation report from GOL were reviewed. Per witnesses that were onboard
the MV at the time of the incident and the investigation report completed by GOL, the
MV struck the SP 27 # 5 platform shortly after completion of platform surveys in the
East Bay field. Multiple witnesses stated that they felt the MV hit the platform but
no witnesses on board the MV at the time of the incident saw the MV contact the
platform. One witness stated that they were in the wheelhouse with the captain at the
time of the incident but had their back turned away from the bow of the MV at the time
of the incident.
As per the USCG report and the GOL investigation report, after the platform surveys
were completed on 22 March 2024, the captain stated that after leaving the East Bay
field, he looked out the wheelhouse and did not see any structures in his view. He
then set his course to the WD field and was traveling at approximately 8 knots. The
captain then turned around to do paperwork on his computer. The impact with SP 27 #5
was approximately 3 minutes after he set his course. The MV then notified USCG of the
incident and proceeded to drop off Island Operators personnel at WD 106 platform and
traveled to the shipyard for vessel repairs. After the vessel arrived at the shipyard,
GOL management met the vessel there where they gathered statements from all the MV
crew.
The GOL internal investigation concluded that multiple factors could have contributed
to the incident. Some of these factors include the failure to account for the
proximity of navigational hazards, the platform’s low profile which could have caused
limited visibility, and the captain allowing himself to become distracted by working
on the computer and not designating proper look-out personnel while he did his
computer work. The GOL investigation also concluded that the captain violated company
safe navigations/voyage planning policy by setting his course to the WD field prior to
clearing all structures in the East Bay field. It was determined by GOL that the
captain did not use his electronic navigation chart system that has the structures in
the field clearly identified.
IN CONCLUSION:
The incident that occurred on 22 March 2024 could have resulted in a far worse outcome.
Due to the lack of awareness by the boat captain and the failure to use the proper
electronic navigation chart system, the MV contacted the SP 27 #5 platform causing
damage to both the platform and the MV. Specifically, the captains disregard for GOL’s
navigation policy, and focusing his attention on his computer rather than navigating
the vessel while underway, caused the allision. Although there were no injuries or
pollution as a result of the incident, there was the potential for both. Due to the
allision, GOL has stated that they will take multiple steps to prevent this type of
incident from occurring in the future. Some of these steps include a safety alert
being shared with the GOL fleet for maneuvering close to platforms/ structures and
safe navigation of the vessel. GOL will also hold a review of the navigation policy
with each vessel of the entire GOL fleet."
CP-5A16E091A7,,Very Serious Incident,2024-04-08,11:30,2024-04-11,VR,218,B,,Maintenance,,Loss Event,Health & Safety,,Combustion,SYN-6e7a41,Maintenance Supervisor,SYN-0f30de,Operations Superintendent,SYN-8b575a,Maintenance Supervisor,2024-04-16,SYN-b22b37,Production Foreman,2024-06-21,"AS THE WELDER AND WELDERS HELPER WERE PERFORMING HOT WORK ON THE TOP DECK ( PRE FAB
HANDRAILS) SLAG FELL TO THE BOTTOM DECK AND IGNITED A 1/4 FULL TANK OF METHANOL,
CAUSING IT TO EXPLODE. THIS RESULTED IN A FLASH FIRE, FOLLOWED BY SEVERAL SMALL FIRES
INVOLVING RESIDUAL PLASTIC AND PAPER PRODUCTS.
THE EXPLOSION AND RESULTING FIRE CAUSED BURNS TO TWO OF THE WELDERS. THEY WERE
EVACUATED TO SHORE FOR TREATMENT. BOTH WRE ADMITTED FOR TREATMENT, WHICH RESULTED IN
LOST TIME.","BOTH WRE ADMITTED FOR TREATMENT, WHICH RESULTED IN LOST TIME.",Very Serious Incident,,Very Serious Incident,25,E,5,,,,,,,A,,
CP-AAEC0F5FC5,,Very Serious Incident,2024-04-09,14:00,2024-04-10,HI,,A,,Maintenance,,Loss Event,,,Combustion,SYN-3e80de,Production Foreman,SYN-60166b,Operations Superintendent,SYN-fcd73d,Facility Engineer,2024-04-16,SYN-df7296,Production Foreman,2024-05-08,"The compressor failed to start (4-5 times). When the compressor fails to start,
HP gas is vented to flair, LP gas is vented to the low pressure vent line, which is
common to the skimmer tanks installed below the MCC room. Gas migrated from the
skimmer atmosphere along the structure beams and up through the opening in the deck
where the power cables and conduit enter the MCC room from below. The gas detector
alarmed with 20% LFL and the door was opened to ventilate the gas. The gas was
trapped in the electrical panels and the pump relay opened or closed providing spark,
exploding gas and blowing out the doors, panel doors, light fixtures, and building
walls. The employee was blown fifteen feet out of the door.","Reported as an explosion. Estimated property damage $10,000.",Very Serious Incident,,Very Serious Incident,25,E,5,,,,,,,A,,
CP-0D35A2BD08,,,2024-04-18,19:00,2024-04-20,VR,226,A,,Well Services,LIFTING DEVICE,,,,,SYN-7dcb98,HSE Advisor,SYN-7540c1,Maintenance Supervisor,SYN-e683c5,HSE Advisor,2024-05-04,SYN-60e672,HSE Advisor,2024-05-20,"-
Freedom Well Services (FWS) was performing plug and abandonment (PA) operations on
the A-5 well for W & T Offshore on the VR-226A platform. On October 23, 2013, the 7""
casing was being pulled from the well utilizing both casing jacks and the platform
crane. Earlier that morning, the casing was speared and pulled up into the casing
jacks, pinned, and the casing head was removed. The first five joints of casing were
pulled from the well using the casing jacks, torch cut into approximately 40' joints,
and laid down on the platform deck utilizing the platform crane. According to the
FWS morning reports obtained on the facility, the next two joints of casing were
pulled from the well using the platform crane instead of the casing jacks. The load
applied to the crane was at an approximately 37' 6"" radius, 65 degree boom angle and
allowed for a rated capacity on the main hoist of 29,865 lbs. static lift and 19,710
lbs. dynamic lift as per the load chart in the crane cab. The weight of the
remaining 7"" casing was approximately 9,100 lbs. When the second joint of casing
emerged from the well and cleared the top of the work basket on the casing jacks, the
dead man pad eye for the main hoist line ripped out of the right cord of the crane
boom to which it had been welded. The main hoist block, weight indicator and the 1.5""
two-part sling in use fell from the boom and was left suspended from the top of the
casing to which it was attached. There were no injuries reported and all personnel
were accounted for immediately following the incident.
The failed dead man pad eye for the main hoist line was installed on August 10,
2007 and was located closer to the boom tip of the crane than the pad eye originally
installed by the manufacturer. Service tickets indicate that the pad eye was cut,
installed and NDT (Non-Destructive Testing) tested before the crane was used after
the pad eye was installed, however, no record of an approved installation procedure,
welding procedure, engineered drawing of the pad eye or NDT procedure from the
original crane manufacturer or an engineer was found for the repair or modification
of the boom or additional dead man point. The originally installed pad eye was
welded to three different members of the crane boom structure. The failed pad eye was
welded directly to the bottom center wall of the square tubing which makes up the
bottom right cord of the boom.
The initial cut on the 7"" casing was made on October 2, 2013 and a second cut was
made on October 3, 2013. The second cut was made at 550 RKB (Rig Kelly Bushing)
(345ft. below the mud line). An initial attempt was made shortly after the casing
was cut to pull it from the well utilizing only the platform crane. According to
morning reports obtained from the facility, the crane pulled up to 27,000 lbs. on the
casing string and was unable to pull it free. The approximate weight of the 550' of
casing was 14,300 lbs. The static load limit was utilized from the load chart rather
than the dynamic limit. At 27,000 lbs. of pull, the dynamic limit of 19,710 lbs. was
exceeded by 7,290 lbs. when initially attempting to free the casing from the well.",There were no injuries reported and all personnel were accounted for immediately following the incident.,,,,,,,,,,,,,,,
CP-BD12A5BAEA,,,2024-05-20,18:00,2024-05-24,MU,A 111 A,­ A,,Production Operations,LIFTING DEVICE,Loss Event,Health & Safety,,,SYN-5adf36,HSE Advisor,SYN-501cf6,Marine Coordinator,SYN-ac48aa,Marine Coordinator,2024-06-06,SYN-fd0560,HSE Advisor,2024-06-24,"-
Two crew members were inside the work basket utilizing power tongs to trip in the
hole with 3 inch drill pipe. A joint of drill pipe was stabbed into the stump and the
Tong Operator started to swing the tongs towards the pipe to make up the connection.
The Injured Person (IP) was assisting to latch on to the connection and noticed the
tong door was closed. The IP grabbed the tong's door in an attempt to open it,
misjudged the tong's movement. As the IP placed his hand on the tong's door, the
tongs struck the drill pipe resulting in pinching his right thumb between the tong
door and the joint of pipe.",The incident resulted in an injury recorded as Other Injury. The facility was evacuated.,,,,,,,,,,,,,,,
CP-2586CB2E6C,,Very Serious Incident,2024-05-26,13:30,2024-05-30,SM,58,,ENTERPRISE 263,Construction,LIFTING Drawworks / Topdrive,Loss Event,,,,,,SYN-4db7b2,Operations Superintendent,,,,,,,"On 26 May 2024, Byron Energy Inc. (Byron) had a near miss incident involving the
topdrive and traveling block on the Enterprise Offshore Drilling, LLC (Enterprise) 263
jack-up rig that was conducting well operations at South Marsh Island Block 58. There
were no injuries and only limited damage to equipment during this incident. Byron
reported this incident to the Bureau of Safety and Environmental Enforcement (BSEE)
Lafayette District at 14:26 hours on 26 May 2024.
At 08:44 hours on 27 May 2024, a",There were no injuries and only limited damage to equipment during this incident.,Very Serious Incident,,Very Serious Incident,25,E,5,,,,,,,,,
