Incident Number,bsee_activity,bsee_type_checkboxes,bsee_operation,bsee_cause_checkboxes,bsee_water_depth,bsee_property_damaged,bsee_possible_ocs_violations,bsee_violations_narrative,bsee_onsite_investigation_date,bsee_accident_classification,bsee_panel_formed,bsee_operator,bsee_form_revision,bsee_extract_status,bsee_source_url,bsee_sha256
GB-962-20210328-0100,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) RW/JT (>3 days) FATALITY Other Injury X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND X SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Shallow Water Flow REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER Inadequate Well Design,5062 FT.,No property was damaged during this was by not setting an additional casing string. Not applicable. incident.,NO,24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY to the Office of Incident CONTRIBUTING.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,Shell Offshore Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gb-962-28mar21.pdf,32c280922fddf34ce7922c165f05427cc230f90c770d611cde7f1d3cad24fbe9
GB-978-20151028-0255,X EXPLORATION(POE) (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3803 FT.,NATURE None None $,YES OF DAMAGE: District at this time.,24. SPECIFY VIOLATIONS DIRECTLY OR G-111(C): 30 CFR 250.107 G-110(C): 30 CFR 250.107(a),,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Chevron U.S.A. Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: Transocean Offshore REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/incident-and-investigations/gb-978-chevron-28-oct-2015.pdf,d12d8d5925587cc9ab394fad323c0ce092b4bec8bd6669bbe41c7a598d61d195
GB-1003-20200918-0640,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION 0 X LTA (1-3 days) LTA (>3 days) X RW/JT (1-3 days) RW/JT (>3 days) FATALITY Other Injury POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR X SLIP/TRIP/FALL 1 WEATHER RELATED LEAK UPSET H2O TREATING 1 OVERBOARD DRILLING FLUID OTHER,4520 FT.,No property was damaged during this incident.,YES,"Based on the incident investigation findings, a G-110 Incident of Noncompliance (INC) is issued to document that Total E&P USA Inc. failed to perform operations in a safe and workmanlike manner onboard the Pacific Drilling Khamsin drill ship that was conducting drilling operations at Garden Banks Block 1003. On 18 September 2020, a third-party contracted Prime Ocean Floorhand suffered a fractured fibula to his left ankle when he fell with his foot stuck in the HydraRacker tracks while removing bushings for the 5-inch drill pipe. Prior to the job task, supervision did not identify the hazards of working by the HyraRacker tracks. The Floorhand injury the 4.5-inch wide HydraRacker tracks posed a inserts.",28.,,,"TOTAL E&P USA, INC. REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:",C,ok,https://www.bsee.gov/sites/bsee.gov/files/gb1003-18sep20.pdf,dced660e694ed37d6777a83f3615547a25f265f95795fc0f211c56a3613f50db
GB-128-20200202-1600,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION 0 X LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) X RW/JT (>3 days) 0 FATALITY Other Injury POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM Contracto REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL 1 WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID 1 OTHER,705 FT.,NA,YES,"INC G-110 is issued to document that Shell Offshore Inc. failed to protect health, safety and the environment by not performing operations in a safe and workmanlike manner as follows: While conducting sandblasting operations, the contractor failed to secure/construct a scaffold board that could have prevented the incident referenced below, as per the Danos Abrasive Blasting Operations 6.2.28 Working at Elevations Policy. A contractor was injured while conducting sandblasting operations on a scaffold board that was placed across the top of two separators. The contractor was attempting to blast an I- beam when the board he was standing on shifted, due to the force of the blasting hose. As the board shifted, the contractor lost his balance and released the blasting hose. The contractor grabbed the I-beam with his left hand while attempting to grab the blasting hose with his right hand, he missed. As the blasting hose dropped, the sanFdo rb Plausbtliecd R tehleroausgeh the contractor’s clothing and caused injuries under his right arm. The lessee did not follow the Danos Abrasive Blasting Operations – 6.2.2.8 Working at Elevation Policy which states, working from scaffolds, not ladders or other antiquated elevating items. The scaffold board was not properly secured, and a scaffold could have been constructed to conduct blasting",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Shell Offshore Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: Danos & Curole Marine REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/gb128-2feb2020-shell-2010-7july2020-redacted.pdf,bf45bff8b88c35151c370087354574dc2d2bc55d07d68e13a096e4624e8c5f05
GB-491-20191122-0934,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),"INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days) RW/JT (1-3 days) RW/JT (>3 days) FATALITY Other Injury POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING Oper DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K $65,000 H2S/15MIN./20PPM X REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR",PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Abandonment,EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER Condensation inside electrical,1888 FT.,"Room was found to be set higher than the too close to the Drilling Drive cabinet. Drilling Drive DC Bar Cabinet, AHU duct Smoke and Fire damage. work, vent, and insulation. $65,000",NO,24. SPECIFY VIOLATIONS DIRECTLY OR None,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Brady,Kosmos Energy Gulf of Mexico REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gb491-kosmos-energy-22-nov-2019.pdf,9f1f8a5aaf7236fc5099317bf2e172bdd5ad91e1763d1e27a008f08ffc1c9da4
GB-216-20160217-1715,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM (U.S.) INC. REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Abandonment,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED X LEAK UPSET H2O TREATING X OVERBOARD DRILLING FLUID OTHER,1481 FT.,No property was damaged.,YES,"Based on the incident investigation findings, an E-100 (W) Incident of Noncompliance (INC) was issued ""After the Fact"" to document that Hess Corporation failed to prevent the unauthorized discharge of pollutants into offshore waters. On 17 February 2016, Hess failed to prevent a discharge of approximately 22 barrels of 15.5 pounds per gallon of Zinc Bromide into offshore waters at Garden Banks Block 216 from Well #004 subsea production tree high pressure vent line safety valves that were left in the open position after retrieval of the tubing hanger.",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Hess Corporation REPRESENTATIVE: TELEPHONE: CONTRACTOR: NOBLE DRILLING REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/incident-and-investigations/gb_216_hess_corporation_17_feb_2016.pdf,9d52f31e58925bc9ccaa21fc856fecd935648c56fbb9dd1496a6ac7d48c4a059
GC-113-20140102-0217,[] EXPLORATION(POE) ~ (DOCD/POD),[]HISTORIC INJURY REQUIRED EVACUATI ON LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY ~ POLLUTION FIRE EXPLOSI ON LWC ~ H ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQU IPMENT FAILURE OR D COLLISION 0 HISTORI C >$25K X STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE (USA) Inc. DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K Damage to A4 well jumper H2S / 15MIN. /20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Dropped Object REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Plugback to Sidetrack,DEVELOPMENT/PRODUCTION X EQU IPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2 0 TREATING OVERBOARD DRILLING FLUID OTHER,1968 FT.,"Several repairs to the A004 jumper that was hit by the falling subsea tree were needed. $227,000",YES,"24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY On Jan. 29, 2014, while in the process of pulling CONTRIBUTING. the subsea tree (XT) off of Marubeni's A002 well, the XT inadvertently released from the Tree Retrieving Tool (TRT), falling to the seafloor and damaging Marubeni's A004 well's jumper. The personnel on the rig during the time of the incident failed to ensure that the TRT was properly latched to the XT before attemting to lift it off of the A002 well. In addition, a proper ""safe zone"" was not established by the rig to ensure that no subsea infrastructure",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO / Richard /,Marubeni Oil & Gas REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-113-marubeni-oil-and-gas-02-jan-2014.pdf,a8876077dc4d4a8028b25fe5162ed901604c0c0920e8a68692ee51518dfb99f0
GC-155-20140924-0600,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY - REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury - FATALITY X POLLUTION FIRE EXPLOSION LWC - HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE (USA) Inc. DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Inadvertent Discharge of SBM REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER X COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Cleaning the Mud Pits,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE - SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,1939 FT.,NATURE N/A N/A,YES OF DAMAGE: BSEE Region at this time.,"E-100: On September 24, 2014, a misalignment with the valves for the mud pits resulted in approximately 150 into the Gulf of Mexico.",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO Reeves / /,Marubeni Oil & Gas REPRESENTATIVE: TELEPHONE: - CONTRACTOR: - REPRESENTATIVE: - TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-155-marubeni-oil-and-gas-24-sep-2014.pdf,435b468903c873e94a8b698c2cf2e7cfc714e09fc9a0cdd9c528bf0244cfbc92
GC-158-20190331-0800,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER electrical wire installation,EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE X SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,2900 FT.,NATURE None None $,NO care. OF DAMAGE: Office of Incident Investigations.,24. SPECIFY VIOLATIONS DIRECTLY OR None,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"EnVen Energy Ventures, LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: MMR Offshore Service, Inc. REPRESENTATIVE: TELEPHONE:",C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-158-enven-energy-31-mar-19.pdf,62e9907c38f165fc7ef6ae5909d101600ffae709f71da86d3bc205cc51124b9c
GC-18-20200813-1620,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),INJURIES: HISTORIC INJURY OPERATOR REQUIRED EVACUATION X LTA (1-3 days) X LTA (>3 days) 0 RW/JT (1-3 days) RW/JT (>3 days) FATALITY Other Injury POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE CONTRACTOR SLIP/TRIP/FALL 1 WEATHER RELATED LEAK 1 UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,2755 FT.,NATURE n/a n/a $,YES OF DAMAGE: Office of Incident Investigations at,"An INC (G-110) was issued: On August 13, 2020, an H&P floorhand was hoisted in a riding belt with the Manrider winch to disconnect the Bowen connection on top of the lubricator. After the disconnection, he remained in the riding belt, and used his left hand to guide the wireline tool string to the rig floor after it was pulled out of the lubricator. The wireline pulled out of the rope socket letting the tool string and pack off box fall and impact the top of the lubricator causing the amputation of the floorhand’s thumb and two fingers on his left hand. • Floorhand failed to follow H&P Offshores Hands Free Work Objective policy. • Driller and other drill crew members witnessed the floorhand reach out with his left hand to guide the wireline tool but failed to stop the job in accordance with the H&P Offshore Hands Free Work Objective",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Talos Oil and Gas LLC REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,C,ok,https://www.bsee.gov/sites/bsee.gov/files/gc-18-13aug20.pdf,acfeaeedb83536b8712c22fea8689a7302b89c56c8fce114c6524e1e28300826
GC-19-20120810-1035,EXPLORATION (PO E) ~ (DOCD/POD),[] HISTORIC INJURY X REQUIRED EVACUATION 1 LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) X RW/JT (>3 days) 1 Other Injury FATALITY ~ POLLUTION FIRE EXPLOSION LWC ~ H ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR 0 COLLISION 0 HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S / 15MIN. /20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Hand Injury REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Construction-Abnmnt Opers.,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER,750 FT.,None None $,NO at this time.,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Shell Offshore Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-19-shell-10-aug-2012.pdf,c06e6eb27dfd6c91d2a7aaede2d32db870571d4d3db1b48da1595d9f96f8d135
GC-237-20141016-2250,EXPLORATION(POE) X (DOCD/POD),"HISTORIC INJURY - REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury - FATALITY X POLLUTION FIRE EXPLOSION LWC - HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Technology GOM, In DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X OTHER Rig Power Loss/Disconnect REPRESENTATIVE/SUPERVISOR",PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE - SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,2240 FT.,N/A by BSEE and the USCG regarding the incident. EDS and well specific side of the incident. The dynamic positoning and electrical systems of the N/A,NO,24. SPECIFY VIOLATIONS DIRECTLY OR N/A,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,Energy Resource REPRESENTATIVE: TELEPHONE: - CONTRACTOR: - REPRESENTATIVE: - TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-237-ert-16-oct-2014.pdf,3ec65d471640a395b25e0cb20503db2b9ebae9a9b825a608569ddb4ab2ed9871
GC-237-20140718-1140,EXPLORATION(POE) X (DOCD/POD),"HISTORIC INJURY ­ REQUIRED EVACUATION 1 ­ X LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) X RW/JT (>3 days) 1 ­ Other Injury ­ FATALITY POLLUTION FIRE EXPLOSION LWC ­ HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Technology GOM, In DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR",PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE ­ SLIP/TRIP/FALL ­ X WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,1940 FT.,N/A ­ N/A,NO this time.,24. SPECIFY VIOLATIONS DIRECTLY OR N/A,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Energy Resource REPRESENTATIVE: TELEPHONE: CONTRACTOR: ­ REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-237-ert-18-jul-2014.pdf,c4a2051e27ec501090fadbda158f6ee5f796a90af75480a38530ad80c0308296
GC-245-2230,EXPLORATION (POE) ~ [] DEVELOPMENT / (DOCD / POD),[] HISTORIC INJURY X REQUIRED EVACUATION 1 LTA {1-3 days) LTA (>3 days RW / JT {1-3 days) X RW / JT (>3 days) 1 Other Injury FATALITY ~ POLLUTION FIRE EXPLOSION LWC ~ H ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D D COLLISION HISTORIC >$2 5K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED / DISABLED SAFETY SYS. INCIDENT >$25 K H2S / 15MIN. /20 PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER,2908 FT.,N/A which led him to be complacent. the specific pinch point between the N/A 23-JUL-2014 -,NO time.,24. SPECIFY VIOLATIONS DIRECTLY OR N/A,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,Shell Offshore Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-245-shell-08-oct-2013.pdf,d62b6e193eb5dd6e498784b5774286a5f9371d73eb40cb792d64eda267e639cf
GC-248-20140609-1635,X EXPLORATION(POE) (DOCD/POD),HISTORIC INJURY- REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury- FATALITY POLLUTION FIRE EXPLOSION LWC- HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE X OTHER LIFTING DEVICE Drawworks System DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER NAUTILUS,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE- SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3233 FT.,- Travelling Block Equipment damaged by the impact of fall - Drill Shack top drive and drill pipe. - Drill Pipe - Drill Line,YES at this time.,"A G-110 INC issued following the investigation states: ""On June 9, 2014, the Transocean Deepwater Nautilus experienced an uncontrolled decent of the traveling block and top drive due to a fault in the draw works system. The incident endangered personnel and led to extensive damage to equipment on the rig floor. The incident occurred while the rig crew was troubleshooting a fault alarm that was received during system without first identifying the safe to do so.""",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Shell Offshore Inc. REPRESENTATIVE: TELEPHONE:- CONTRACTOR:- REPRESENTATIVE:- TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/gc-248-shell-09-jun-2014.pdf,1714b331c1fa32ff37a1c4136c862b7a15fd2c0af66ce5215ddea4a39a4dc765
